Name,NA,EU,JP,Other
Homefront,0.32,0.4,0.04,0.15
AMF Bowling Pinbusters!,0.85,0,0,0.07
Street Hoops,0.45,0.35,0,0.12
Avatar: The Game,0.32,0.43,0,0.16
Harvest Moon 3D: A New Beginning,0.41,0.17,0.29,0.05
Tom Clancy's EndWar,0.58,0.24,0.01,0.09
Knockout Kings 2002,0.45,0.35,0,0.12
Tokyo Xtreme Racer 3,0.35,0.27,0.21,0.09
LEGO Indiana Jones 2: The Adventure Continues,0.47,0.3,0,0.13
Colin McRae Rally 2.0,0.02,0.8,0.02,0.07
Glover,0.72,0.17,0,0.01
MX vs. ATV Reflex,0.52,0.26,0,0.12
Minecraft: Story Mode,0.46,0.38,0,0.08
Namco Museum,0.77,0.11,0,0.04
Marvel: Ultimate Alliance 2,0.68,0.15,0,0.08
Call of Duty: World at War,0.57,0.26,0,0.08
Super Momotarou Dentetsu III,0,0,0.91,0
Sonic Mega Collection Plus,0.61,0.26,0,0.04
DJ Hero,0.42,0.34,0,0.14
Dragon Age: Inquisition,0.55,0.28,0,0.07
The Simpsons Game,0.38,0.37,0,0.15
Tiger Woods PGA Tour 2002,0.44,0.35,0,0.12
Rhythm Heaven,0.13,0,0.77,0.01
Mini-Yonku Shining Scorpion: Let's & Go!!,0,0,0.9,0
MLB 2005,0.44,0.35,0,0.12
SOCOM 4: U.S. Navy SEALs,0.66,0.12,0.04,0.08
Burnout Revenge,0.75,0.03,0,0.12
Buzz! Quiz TV,0.28,0.48,0,0.14
We Ski & Snowboard,0.38,0.29,0.15,0.08
Destruction Derby,0.5,0.34,0,0.06
TouchMaster 2,0.3,0.49,0,0.1
Crysis 3,0.26,0.43,0.03,0.18
3Xtreme,0.5,0.34,0,0.06
Hot Shots Tennis,0.17,0.13,0.55,0.05
Sonic Heroes,0.41,0.43,0.01,0.05
Resistance: Retribution,0.27,0.36,0.05,0.22
Tiger Woods PGA Tour 12: The Masters,0.52,0.26,0,0.12
Star Wars: The Force Unleashed,0.51,0.29,0,0.09
Madden NFL 99,0.84,0.05,0,0.01
Spider-Man 3,0.74,0.03,0.01,0.12
James Bond 007: Agent Under Fire,0.65,0.22,0,0.03
Samba De Amigo,0.42,0.37,0.01,0.1
The Elder Scrolls Online,0.32,0.48,0,0.09
Pure,0.42,0.33,0,0.14
FIFA Soccer 09 All-Play,0.29,0.52,0,0.09
Fossil Fighters,0.84,0,0,0.06
LittleBigPlanet Karting,0.42,0.32,0.01,0.15
X-Men Legends,0.62,0.24,0,0.04
NBA Live 2005,0.81,0.05,0,0.04
Harry Potter: Quidditch World Cup,0.44,0.34,0,0.11
The Biggest Loser: Ultimate Workout,0.73,0.1,0,0.06
Madagascar,0.62,0.24,0,0.03
Call of Juarez: Bound in Blood,0.35,0.38,0.01,0.16
Killzone: Liberation,0.44,0.28,0,0.18
Madden NFL 08,0.82,0.01,0,0.07
Blitz: The League,0.74,0.03,0,0.12
LEGO Jurassic World,0.32,0.42,0.01,0.14
Castlevania: Circle of the Moon,0.6,0.22,0.05,0.02
Sonic Chronicles: The Dark Brotherhood,0.51,0.29,0.01,0.09
Tiger Woods PGA Tour 06,0.74,0.03,0,0.12
Classic NES Series: The Legend of Zelda,0.46,0.17,0.24,0.02
The Jak and Daxter Collection,0.6,0.19,0,0.1
Fire Emblem: The Sacred Stones,0.42,0.16,0.3,0.02
Pokemon Card GB2: Here Comes Team GR!,0,0,0.89,0
Finding Nemo,0.69,0.18,0,0.02
CSI: Hard Evidence,0.36,0.43,0,0.1
Ace Combat 2,0.16,0.11,0.56,0.06
F1 2009,0.15,0.63,0,0.11
NFL 2K2,0.44,0.34,0,0.11
EA Sports UFC 2,0.28,0.47,0,0.14
Dissidia 012: Duodecim Final Fantasy,0.21,0.13,0.46,0.08
LEGO Marvel Super Heroes,0.42,0.36,0.04,0.07
F1 2010,0.18,0.59,0.01,0.1
Monster 4X4: World Circuit,0.81,0,0.01,0.07
Call of Duty: Modern Warfare 2,0.01,0.79,0,0.09
Wii Fit U,0.39,0.24,0.21,0.06
Kingdoms of Amalur: Reckoning,0.55,0.25,0.01,0.07
Call of Duty: Modern Warfare 3,0.6,0.21,0,0.08
MLB 2001,0.49,0.34,0,0.06
SingStar Anthems,0,0.68,0,0.2
Seiken Densetsu 3,0,0,0.89,0
Mega Man 8 Anniversary Collector's Edition,0.44,0.3,0.09,0.06
WWE SmackDown vs. Raw 2011,0.44,0.36,0,0.08
Sleeping Dogs,0.38,0.41,0.01,0.08
Grand Theft Auto IV,0.01,0.79,0,0.08
Peppa Pig: The Game,0,0.82,0,0.06
Michael Jackson: The Experience,0.62,0.2,0,0.07
Ghostbusters: The Video Game,0.6,0.21,0,0.08
Rock Band 3,0.73,0.1,0,0.06
Resident Evil: Revelations,0.3,0.22,0.3,0.05
NBA 2K6,0.43,0.34,0,0.11
Buzz! The Mega Quiz,0.32,0.06,0,0.5
Endless Ocean: Blue World,0.47,0.22,0.12,0.07
Star Wars: Rebel Assault II - The Hidden Empire,0.49,0.33,0,0.06
Just Cause 3,0.42,0.38,0,0.07
Metal Gear Ac!d,0.32,0.26,0.12,0.17
Cooking Mama: World Kitchen,0.51,0.28,0.01,0.08
Tekken Tag Tournament 2,0.28,0.33,0.13,0.14
ESPN NHL 2K5,0.43,0.33,0,0.11
GRID,0.33,0.44,0.01,0.09
Phantasy Star Portable 2,0.08,0.11,0.62,0.06
Crimson Skies: High Road to Revenge,0.65,0.19,0,0.03
Spec Ops: Ranger Elite,0.49,0.33,0,0.06
Gex,0.49,0.33,0,0.06
NBA 2K14,0.7,0.11,0,0.06
DiRT,0.38,0.4,0,0.09
Derby Stallion II,0,0,0.87,0
Gold's Gym: Dance Workout,0.71,0.11,0,0.06
Red Faction: Guerrilla,0.48,0.29,0.01,0.09
Tom Clancy's Ghost Recon: Island Thunder,0.61,0.24,0,0.03
Mercenaries 2: World in Flames,0.29,0.4,0.02,0.16
Need for Speed: V-Rally,0.43,0.29,0.09,0.06
Kingdom Hearts Re: Chain of Memories,0.73,0.03,0,0.12
Pictionary,0.61,0.19,0,0.07
NCAA Football 13,0.82,0,0,0.06
Kingdoms of Amalur: Reckoning,0.37,0.3,0.09,0.11
NFL GameDay '97,0.48,0.33,0,0.06
Beijing 2008,0.14,0.54,0.01,0.18
The House of the Dead: Overkill,0.46,0.31,0.02,0.09
Tony Hawk's Project 8,0.72,0.03,0,0.12
Injustice: Gods Among Us,0.46,0.29,0,0.12
NHL 2000,0.48,0.33,0,0.06
Buzz! Master Quiz,0.2,0.44,0,0.23
Brothers in Arms: Hell's Highway,0.47,0.31,0,0.09
Fight Night Round 2,0.72,0.03,0,0.12
Wizards of Waverly Place,0.59,0.2,0,0.08
Scooby-Doo! First Frights,0.63,0.17,0,0.07
Conflict: Desert Storm,0.48,0.37,0,0.02
Triple Play 2002,0.43,0.33,0,0.11
Vagrant Story,0.3,0.2,0.3,0.06
Lemmings,0.12,0.52,0,0.23
Warriors Orochi,0.11,0.09,0.64,0.03
Guitar Hero: Warriors of Rock,0.47,0.32,0,0.08
Enduro,0.81,0.05,0,0.01
Tales of Xillia 2,0.2,0.15,0.45,0.07
SingStar '90s,0.1,0.59,0,0.18
Monster Strike 3DS,0,0,0.86,0
Tomb Raider: Anniversary,0.12,0.63,0,0.11
Winning Eleven: Pro Evolution Soccer 2007,0.01,0.72,0.12,0.01
Darksiders II,0.35,0.37,0.01,0.14
Ghostbusters: The Video Game,0.34,0.37,0,0.15
The World Ends With You,0.54,0.06,0.21,0.05
The Lord of the Rings: War in the North,0.25,0.45,0.01,0.15
Rocky,0.42,0.33,0,0.11
Dragon Quest VIII: Journey of the Cursed King,0,0,0.86,0
Ford Racing,0.48,0.33,0,0.06
Madden Football 64,0.81,0.04,0,0.01
MLB 99,0.48,0.32,0,0.06
Dragon Ball Z: Burst Limit,0.22,0.34,0.18,0.12
The Lord of the Rings: War in the North,0.52,0.26,0,0.08
The Legendary Starfy,0.61,0,0.2,0.05
2010 FIFA World Cup South Africa,0.32,0.43,0.02,0.09
Dynasty Warriors 4: Xtreme Legends,0.17,0.13,0.51,0.04
Ninja Gaiden Sigma 2,0.52,0.16,0.08,0.1
Forza Horizon 2,0.35,0.43,0,0.07
Skate 2,0.46,0.26,0.01,0.12
FIFA Soccer 08,0.1,0.65,0,0.11
Army Men: Air Attack,0.47,0.32,0,0.06
Need for Speed: Nitro,0.46,0.31,0,0.08
Madden NFL 09 All-Play,0.78,0.01,0,0.07
NBA 2K8,0.79,0,0,0.07
Far Cry: Primal,0.46,0.32,0,0.07
Street Fighter Alpha 2,0.14,0.09,0.57,0.06
Tiger Woods PGA Tour 2005,0.64,0.18,0,0.03
Army of Two: The 40th Day,0.44,0.27,0.01,0.12
Blazing Angels: Squadrons of WWII,0.74,0.04,0,0.06
Castlevania III: Dracula's Curse,0.4,0.07,0.37,0.01
Harry Potter and the Order of the Phoenix,0.28,0.47,0,0.1
Rampage World Tour,0.47,0.32,0,0.06
Burnout Legends,0.7,0.06,0,0.09
WWE 2K15,0.36,0.35,0,0.14
Overwatch,0.52,0.25,0,0.08
Ratatouille,0.31,0,0,0.53
NFL GameDay,0.47,0.32,0,0.06
Burnout 2: Point of Impact,0.42,0.32,0,0.11
Kirby: Planet Robobot,0.26,0.1,0.44,0.04
Street Fighter EX3,0.32,0.25,0.2,0.08
Karaoke Revolution Glee,0.52,0.25,0,0.07
Sniper Elite V2,0.46,0.29,0.02,0.07
Thief (2014),0.28,0.37,0.03,0.16
Spider-Man 2,0.65,0.17,0,0.02
Golden Sun: Dark Dawn,0.56,0.11,0.13,0.05
Tiger Woods PGA Tour 11,0.37,0.34,0,0.13
Devil May Cry HD Collection,0.42,0.21,0.11,0.1
MLB 16: The Show,0.68,0,0,0.16
NBA 2K10,0.75,0.01,0.01,0.07
Xenoblade Chronicles X,0.36,0.28,0.14,0.06
Petz Dogz Fashion,0.46,0.3,0,0.09
The Incredibles,0.65,0.17,0,0.02
NCAA Football 11,0.79,0,0,0.06
Dragon Age II,0.4,0.27,0.05,0.12
ATV Quad Power Racing 2,0.41,0.32,0,0.11
Harvest Moon: Tree of Tranquility,0.69,0.03,0.06,0.06
Final Fantasy,0.32,0,0.52,0
Street Fighter X Tekken,0.42,0.22,0.1,0.1
Rocket Power: Team Rocket Rescue,0.47,0.32,0,0.05
Duke Nukem Forever,0.52,0.25,0,0.07
Big Mutha Truckers,0.41,0.32,0,0.11
Borderlands: The Handsome Collection,0.36,0.32,0.03,0.14
Rogue Galaxy,0.24,0.16,0.39,0.05
ESPN College Hoops 2K5,0.41,0.32,0,0.11
Metroid: Zero Mission,0.6,0.22,0,0.01
FIFA 15,0.13,0.48,0.04,0.19
Time Crisis 4,0.32,0.33,0.05,0.14
Ben 10: Protector of Earth,0.09,0,0,0.74
Need for Speed Rivals,0.37,0.38,0.01,0.08
Q*bert,0.46,0.32,0,0.05
WWE SmackDown vs. Raw 2009,0.44,0.31,0,0.08
Ace Combat 3: Electrosphere,0.22,0.15,0.4,0.05
Dynasty Warriors 2,0.24,0.19,0.34,0.06
Battle of Giants: Dinosaurs,0.38,0.37,0,0.09
Madden NFL 07,0.77,0.03,0,0.04
Lizzie McGuire 2: Lizzie Diaries,0.6,0.22,0,0.01
Borderlands 2,0.43,0.21,0.01,0.19
FIFA Soccer World Championship,0.27,0.21,0.28,0.07
Brute Force,0.62,0.18,0.01,0.03
Dance Central 3,0.57,0.2,0,0.06
Yu-Gi-Oh! Dark Duel Stories,0,0,0.83,0
The Game of Life,0.46,0.31,0,0.05
Mega Man Legends,0.39,0.26,0.12,0.05
NCAA Football 12,0.78,0,0,0.05
Sly 3: Honor Among Thieves,0.69,0.03,0,0.11
The Price is Right,0.77,0,0,0.06
Sid Meier's Civilization Revolution,0.58,0.17,0,0.07
MLB SlugFest 20-03,0.41,0.32,0,0.11
I Spy: Fun House,0.77,0,0,0.06
The Amazing Spider-Man (Console Version),0.31,0.37,0,0.14
Dragon Ball: Raging Blast 2,0.42,0.2,0.11,0.09
MediEvil,0.46,0.31,0,0.05
Casper,0.46,0.31,0,0.05
Deca Sports 2,0.33,0.34,0.09,0.07
James Bond 007: Nightfire,0.58,0.22,0,0.03
Madden NFL 17,0.72,0.02,0,0.09
Tony Hawk's Underground 2 Remix,0.46,0.21,0,0.15
Tony Hawk's Pro Skater 3,0.64,0.17,0,0.02
Marvel: Ultimate Alliance,0.69,0.03,0,0.11
Star Wars The Clone Wars: Republic Heroes,0.44,0.3,0,0.08
DJ Hero 2,0.64,0.12,0,0.06
Street Fighter V,0.35,0.26,0.08,0.13
Need for Speed: Hot Pursuit 2,0.68,0.11,0,0.03
Clu Clu Land,0.42,0.1,0.28,0.02
Killer Instinct Gold,0.61,0.19,0,0.01
Amped: Freestyle Snowboarding,0.69,0.11,0,0.02
Custer's Revenge,0.76,0.05,0,0.01
MediEvil: Resurrection,0.19,0.41,0,0.22
DmC: Devil May Cry,0.24,0.28,0.19,0.12
Tales of the Abyss,0.42,0.19,0.14,0.06
Rocket Power: Beach Bandits,0.4,0.31,0,0.1
Guitar Hero: Warriors of Rock,0.33,0.35,0,0.14
Hasbro Family Game Night 3,0.47,0.28,0,0.07
Madden NFL 16,0.56,0.11,0,0.15
Stranglehold,0.4,0.33,0.01,0.09
Imagine: Rock Star,0.4,0.33,0,0.09
Shin Megami Tensei: Persona 4,0.34,0.04,0.36,0.08
SingStar Vol. 2,0.29,0.4,0,0.13
Shaun White Snowboarding,0.48,0.26,0,0.08
Madden NFL 25,0.62,0.13,0,0.07
Twisted Metal (2012),0.67,0.07,0,0.07
Dragon Warrior III,0,0,0.81,0
Disney's The Little Mermaid: Ariel's Undersea Adventure,0.73,0.03,0,0.06
Ready 2 Rumble Boxing: Round 2,0.4,0.31,0,0.1
Kamaitachi no Yoru,0,0,0.81,0
Patapon,0.33,0.25,0.07,0.17
Tales of Destiny II,0.06,0.04,0.66,0.05
Super Bomberman 2,0,0,0.81,0
NASCAR 2001,0.45,0.31,0,0.05
EA Sports Active NFL Training Camp,0.77,0,0,0.05
The Legend of Zelda: Four Swords Adventures,0.63,0.16,0,0.02
Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,0,0,0.76,0.05
Guitar Hero Live,0.32,0.35,0,0.13
Valkyrie Profile,0.07,0.05,0.63,0.05
Final Fantasy Type-0,0,0,0.81,0
Pro Evolution Soccer 2010,0.12,0.58,0.03,0.08
Army Men: Sarge's Heroes,0.68,0.12,0,0.01
Mega Man,0.45,0.08,0.27,0.01
Tom Clancy's Rainbow Six 3,0.4,0.31,0,0.1
Lego Batman 3: Beyond Gotham,0.33,0.35,0,0.13
EarthBound,0,0,0.81,0
DiRT 2,0.32,0.4,0,0.09
Professor Layton vs Phoenix Wright: Ace Attorney,0.2,0.26,0.3,0.04
The Next Tetris,0.45,0.31,0,0.05
Dying Light,0.43,0.3,0.01,0.07
NCAA Football 10,0.75,0,0,0.06
Ben 10: Alien Force,0.52,0.21,0,0.07
World Soccer Jikkyou Winning Eleven 3: World Cup France '98,0,0,0.75,0.05
Final Fantasy XI: Wings of the Goddess,0.35,0.27,0.09,0.09
The Sims 2,0.67,0.03,0,0.11
Guitar Hero: Metallica,0.52,0.21,0,0.07
NCAA Football 14,0.75,0,0,0.06
MadWorld,0.46,0.25,0.02,0.07
Fight Night Champion,0.4,0.33,0,0.07
Who wants to be a millionaire,0.45,0.3,0,0.05
Yakuza,0.03,0.02,0.74,0.01
Star Wars Rogue Squadron III: Rebel Strike,0.62,0.16,0,0.02
ABBA: You Can Dance,0.19,0.5,0,0.11
Moto Racer,0.45,0.3,0,0.05
Hitman: Contracts,0.39,0.31,0,0.1
The Sims 2: Pets,0.19,0.39,0,0.22
Final Fantasy Anthology,0.45,0.3,0,0.05
Aliens: Colonial Marines,0.36,0.37,0,0.07
Pro Evolution Soccer 2010,0.09,0.33,0.2,0.18
[Prototype 2],0.48,0.25,0,0.07
Sonic & SEGA All-Stars Racing with Banjo-Kazooie,0.37,0.35,0,0.07
Goldeneye 007: Reloaded,0.33,0.35,0,0.13
NBA 2K16,0.44,0.19,0.03,0.13
All Star Cheer Squad,0.43,0.29,0,0.08
The Sims 2: Castaway,0.08,0.46,0,0.25
Prince of Persia: Warrior Within,0.48,0.28,0,0.04
Dragon's Dogma,0.42,0.24,0.07,0.06
Darksiders II,0.45,0.28,0,0.07
Resident Evil: Revelations,0.14,0.32,0.22,0.12
Rayman Raving Rabbids 2,0.73,0.01,0,0.06
Super Robot Taisen α,0,0,0.75,0.05
PES 2009: Pro Evolution Soccer,0.04,0.33,0.26,0.17
Need for Speed: Hot Pursuit 2,0.68,0.09,0,0.02
Star Wars: The Force Unleashed II,0.54,0.19,0,0.06
Band Hero,0.51,0.22,0,0.07
Mario & Sonic at the Sochi 2014 Olympic Winter Games,0.39,0.22,0.13,0.06
Tales of Destiny 2,0,0,0.8,0
Capcom's Soccer Shootout,0,0,0.8,0
Sniper: Ghost Warrior,0.26,0.36,0.04,0.14
The Godfather II,0.47,0.24,0.01,0.08
pro evolution soccer 2011,0.05,0.3,0.29,0.16
Alien,0.74,0.04,0,0.01
Dragon Ball Z: Budokai Tenkaichi 2,0.66,0.02,0,0.11
The Walking Dead: Season One,0.4,0.25,0.03,0.11
Rayman Origins,0.38,0.34,0,0.08
Guitar Hero: Aerosmith,0.61,0,0,0.18
Ridge Racer,0,0,0.74,0.05
Final Fantasy Tactics A2: Grimoire of the Rift,0.42,0.03,0.3,0.04
Harvest Moon: A Wonderful Life,0.61,0.16,0,0.02
Momotarou Dentetsu 7,0,0,0.74,0.05
Invizimals,0.17,0.51,0,0.11
Motocross Mania,0.44,0.3,0,0.05
Tiger Woods PGA Tour 10,0.42,0.25,0,0.12
Star Wars The Clone Wars: Jedi Alliance,0.62,0.11,0,0.07
WCW Mayhem,0.63,0.15,0,0.01
Mega Man 5,0.39,0.07,0.32,0.01
Star Ocean: The Last Hope,0.32,0.2,0.21,0.06
Dance Dance Revolution SuperNOVA 2,0.64,0.03,0.02,0.1
Armored Core 2,0.28,0.22,0.23,0.07
Dragon Quest Monsters 2,0,0,0.79,0
Ghost Squad,0.42,0.21,0.08,0.07
Dead Island: Riptide,0.44,0.27,0.01,0.07
Drawn to Life,0.71,0.02,0,0.06
Major League Baseball Featuring Ken Griffey Jr,0.75,0.03,0,0.01
FIFA 12,0.16,0.52,0,0.11
Too Human,0.38,0.3,0.03,0.08
Sid Meier's Civilization Revolution,0.49,0.19,0.01,0.1
NCAA Football 08,0.65,0.03,0,0.11
FIFA Soccer 2004,0.24,0.49,0,0.05
Personal Trainer: Walking,0.22,0.32,0.17,0.07
Naruto Shippuden: Ultimate Ninja Storm 2,0.43,0.27,0.01,0.07
PokePark 2: Wonders Beyond,0.27,0.2,0.27,0.05
Professor Layton and the Azran Legacy,0,0.48,0.25,0.06
Tom Clancy's Splinter Cell: Double Agent,0.67,0.05,0.01,0.06
Yars' Revenge,0.73,0.04,0,0.01
Lips,0.12,0.56,0,0.1
Secret Agent Barbie: Royal Jewels Mission,0.56,0.21,0,0.01
Metroid Prime Hunters,0.58,0.04,0.11,0.06
The 7th Guest,0.01,0.77,0,0
Doom,0.43,0.3,0,0.05
Buzz! The Hollywood Quiz,0.17,0,0,0.61
Puzzler World,0.41,0.3,0,0.07
My Little Pony: Pinkie Pie's Party,0.72,0,0,0.06
We Sing,0,0.69,0,0.09
Marvel vs. Capcom: Clash of Super Heroes,0.43,0.3,0,0.05
God of War Saga,0.72,0,0,0.06
Battle Stations,0.43,0.29,0,0.05
Tetris Party Deluxe,0.29,0.3,0.12,0.07
Pro Evolution Soccer 2016,0.13,0.42,0.13,0.1
Worms: Open Warfare,0.11,0.43,0,0.24
Star Wars Battlefront: Elite Squadron,0.38,0.24,0,0.16
UFC Personal Trainer: The Ultimate Fitness System,0.53,0.19,0,0.06
Resident Evil: Operation Raccoon City,0.55,0.15,0.03,0.06
NBA 2K7,0.65,0.02,0,0.11
Need for Speed: ProStreet,0.24,0.33,0.01,0.2
Toy Story 3: The Video Game,0.41,0.29,0,0.07
Torneko no Daibouken: Fushigi no Dungeon,0,0,0.78,0
Jr. Pac-Man,0.72,0.05,0,0.01
James Bond 007: Nightfire,0.6,0.16,0,0.02
Banjo-Kazooie: Nuts & Bolts,0.32,0.36,0,0.09
NBA ShootOut 98,0.43,0.29,0,0.05
Avatar: The Game,0.34,0.35,0,0.08
Harry Potter and the Half-Blood Prince,0.28,0.4,0,0.09
DJ Hero,0.47,0.23,0,0.07
Perfect Dark Zero,0.66,0.02,0.03,0.06
Galaxian,0.72,0.05,0,0.01
Andretti Racing,0.43,0.29,0,0.05
Caesars Palace 2000: Millennium Gold Edition,0.43,0.29,0,0.05
Madden NFL 25,0.67,0.05,0,0.05
Air Raid,0.72,0.04,0,0.01
Need For Speed: Undercover,0.23,0.32,0.03,0.19
Duke Nukem Forever,0.33,0.31,0,0.12
Freedom Wars,0.22,0.14,0.32,0.1
Marvel Nemesis: Rise of the Imperfects,0.64,0.02,0,0.1
Boxing,0.72,0.04,0,0.01
Need for Speed: Porsche Unleashed,0.43,0.29,0,0.05
Dragon Ball: Raging Blast,0.37,0.19,0.11,0.1
Crystal Castles,0.72,0.04,0,0.01
Conker's Bad Fur Day,0.53,0.22,0,0.02
Dragon Warrior I&II,0,0,0.77,0
Star Wars Episode II: Attack of the Clones,0.55,0.2,0,0.01
My Baby Girl,0.61,0.1,0,0.06
LEGO Batman 2: DC Super Heroes,0.43,0.27,0,0.06
Twisted Metal: Head On,0.71,0,0,0.06
Conflict: Desert Storm II - Back to Bagdhad,0.38,0.29,0,0.1
Maximo: Ghosts to Glory,0.38,0.29,0,0.1
Pokemon Dash,0.21,0.14,0.38,0.04
Donkey Kong Country 3,0.45,0.17,0.14,0.01
All-Star Baseball 2003,0.38,0.29,0,0.1
Unlimited Saga,0.1,0.08,0.56,0.03
Cabela's Deer Hunt: 2004 Season,0.37,0.29,0,0.1
Sonic Unleashed,0.37,0.04,0,0.36
Formula 1,0.18,0.12,0.42,0.05
Plants vs. Zombies: Garden Warfare,0.22,0.4,0.01,0.14
Raving Rabbids: Travel in Time,0.22,0.47,0,0.08
The Sims 3,0.3,0.37,0.03,0.07
Driv3r,0.36,0.38,0,0.03
Mercenaries: Playground of Destruction,0.64,0.02,0,0.1
MTV Celebrity Deathmatch,0.37,0.29,0,0.1
Street Fighter Alpha: Warriors' Dreams,0.17,0.11,0.43,0.05
Mortal Kombat,0.47,0.18,0,0.12
ISS Pro Evolution,0,0,0.71,0.05
Lost Planet 2,0.38,0.24,0.08,0.06
SoulCalibur V,0.35,0.24,0.07,0.1
Portal 2,0.33,0.32,0,0.11
Super Monkey Ball: Touch & Roll,0.7,0.01,0,0.06
Pro Evolution Soccer 2015,0.09,0.43,0.11,0.13
Drawn to Life: The Next Chapter,0.29,0.39,0,0.08
The Lord of the Rings: Conquest,0.38,0.26,0,0.12
Final Fantasy II,0,0,0.76,0
Tony Hawk's Pro Skater 2,0.59,0.16,0,0.01
Taiko no Tatsujin: Tatakon de Dodon ga Don,0,0,0.76,0
Mega Man Battle Network 6: Cybeast Falzar / Gregar,0.09,0.03,0.62,0.02
Syphon Filter: The Omega Strain,0.37,0.29,0,0.1
FIFA Soccer 11,0.11,0.29,0,0.36
Deer Drive,0.67,0.04,0,0.05
Kane & Lynch: Dead Men,0.36,0.31,0.01,0.08
Assassin's Creed: Revelations,0.14,0.48,0,0.14
Mortal Kombat: Deception,0.61,0.12,0,0.03
Ace Attorney Investigations: Miles Edgeworth,0.27,0.15,0.3,0.04
That's So Raven,0.54,0.2,0,0.01
FIFA 15,0.24,0.46,0,0.06
Marvel vs. Capcom 2: New Age of Heroes,0.31,0.24,0.13,0.08
Need for Speed: Shift,0.16,0.38,0.01,0.21
Kane & Lynch: Dead Men,0.29,0.32,0.01,0.13
Dark Souls II,0.48,0.2,0.01,0.06
True Crime: New York City,0.57,0.02,0.07,0.09
Legends of Wrestling,0.37,0.29,0,0.1
Rockstar Games presents Table Tennis,0.28,0.39,0,0.09
Monopoly Streets,0.24,0.44,0,0.08
Genji: Days of the Blade,0.18,0.38,0.06,0.14
Harvest Moon: Animal Parade,0.6,0.09,0.02,0.05
Final Fantasy Legend III,0,0,0.76,0
Total War: Rome II,0.12,0.53,0,0.11
Rare Replay,0.47,0.21,0.01,0.07
Spectrobes,0.67,0.03,0,0.06
Wall-E,0.21,0,0,0.54
WWE SmackDown vs. Raw 2009,0.41,0.21,0,0.14
Band Hero,0.41,0.24,0,0.11
Mega Man X5,0.3,0.21,0.2,0.05
Tearaway,0.17,0.39,0,0.19
DJ Hero 2,0.47,0.19,0,0.09
The Godfather II,0.41,0.22,0.01,0.11
WWE SmackDown vs. Raw 2010,0.51,0.17,0,0.07
Turok,0.46,0.21,0.01,0.07
[Prototype 2],0.36,0.28,0,0.11
Shark Tale,0.37,0.29,0,0.1
San Francisco Rush: Extreme Racing,0.63,0.11,0,0.01
The Amazing Spider-Man (Console Version),0.43,0.26,0,0.06
Zone of the Enders,0.3,0.24,0.13,0.08
Red Faction: Guerrilla,0.33,0.28,0.02,0.12
Street Fighter EX Plus Alpha,0.28,0.19,0.23,0.05
Madden NFL 06,0.69,0,0,0.06
Coded Arms,0.28,0.29,0,0.18
Tony Hawk's Underground 2,0.48,0.24,0,0.03
Tales of Vesperia,0.32,0.18,0.19,0.05
X-Men Origins: Wolverine - Uncaged Edition,0.31,0.32,0,0.13
Madagascar: Escape 2 Africa,0.42,0.26,0,0.07
Split/Second,0.31,0.31,0.01,0.12
Capcom vs. SNK 2: Mark of the Millennium 2001,0.22,0.17,0.3,0.06
MVP 06 NCAA Baseball,0.62,0.02,0,0.1
Just Dance 2015,0.4,0.28,0,0.07
Borderlands: The Pre-Sequel,0.46,0.22,0.01,0.06
LittleBigPlanet 3,0.2,0.43,0.01,0.11
Marvel: Ultimate Alliance 2,0.49,0.16,0,0.09
Sega Superstars Tennis,0.29,0.37,0,0.08
The Walking Dead: Season One,0.55,0.14,0,0.05
Ace Combat: Assault Horizon,0.3,0.16,0.22,0.07
Jump Ultimate Stars,0,0,0.74,0
Jampack Summer 2001,0.36,0.28,0,0.1
Resonance of Fate,0.2,0.22,0.24,0.09
Burnout,0.36,0.28,0,0.1
Tom Clancy's Rainbow Six: Vegas,0.42,0.19,0,0.14
Final Fantasy XIII-2,0.36,0.3,0.02,0.06
LEGO Batman 2: DC Super Heroes,0.41,0.27,0,0.06
Mortal Kombat: Unchained,0.67,0.01,0,0.06
Mario & Luigi: Paper Jam,0.16,0.3,0.25,0.04
Yu-Gi-Oh! Dungeon Dice Monsters,0.42,0.16,0.15,0.01
Brink,0.29,0.32,0.01,0.12
LEGO Marvel Super Heroes,0.31,0.35,0.02,0.06
Blur,0.22,0.37,0.02,0.13
Madden NFL 11,0.7,0,0,0.05
Namco Museum Remix,0.68,0,0,0.05
Midnight Club 3: DUB Edition,0.61,0.1,0,0.03
Crysis 2,0.16,0.45,0,0.13
The Lord of the Rings: The Two Towers,0.53,0.2,0,0.01
Tiger Woods PGA Tour 2001,0.36,0.28,0,0.09
Indiana Jones and the Staff of Kings,0.36,0.3,0,0.08
Jet Moto 3,0.41,0.28,0,0.05
Naruto Shippuden: Ultimate Ninja Storm Generations,0.27,0.25,0.14,0.08
Unreal Championship,0.59,0.12,0,0.03
WarioWare: Twisted!,0.16,0.06,0.5,0.02
Pirates of the Caribbean: At World's End,0.17,0.41,0,0.15
Tiger Woods PGA Tour 08,0.22,0.38,0,0.14
Persona 4: Arena,0.3,0.12,0.24,0.07
Sword of Mana,0.31,0.11,0.3,0.02
Harvest Moon DS: Island of Happiness,0.44,0.01,0.25,0.04
